# Every value the two nearby implementations have to agree on.
# Generated by NearbyVectorsTest. Regenerate with UPDATE_GOLDEN=1, and read the diff.
#
# Format: <group> | <input> | <output>. Bytes are lowercase hex.
# Read by app/src/test/.../NearbyVectorsTest.kt and desktop/nearby/vectors.test.js.

# --- to256 ---
to256 | two | 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
to256 | leading-zero-byte | 00800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
to256 | top-bit-set | 80000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
to256 | full-width | ffffffffffffffffc90fdaa22168c234c4c6628b80dc1cd129024e088a67cc74020bbea63b139b22514a08798e3404ddef9519b3cd3a431b302b0a6df25f14374fe1356d6d51c245e485b576625e7ec6f44c42e9a637ed6b0bff5cb6f406b7edee386bfb5a899fa5ae9f24117c4b1fe649286651ece45b3dc2007cb8a163bf0598da48361c55d39a69163fa8fd24cf5f83655d23dca3ad961c62f356208552bb9ed529077096966d670c354e4abc9804f1746c08ca18217c32905e462e36ce3be39e772c180e86039b2783a2ec07a28fb5c55df06f4c52c9de2bcbf6955817183995497cea956ae515d2261898fa051015728e5a8aacaa68fffffffffffffffd

# --- dh ---
dh.public | x=2 | 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004
dh.public | x=3 | 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008
dh.public | x=12648430 | 4c891bd097de5aa4923ea4d0e33a6605c982a37496a419a5c4f44572d7ef1ee7bd4d588cd6a05dbe9d4aeb27550097d33a0650edec6a54a1dbc7631fe722a908d514938d432a653053e002fe266a952a9b8fec16a99acf0ac9b6bd478f2aa3f6cd5f1b6bff318c80edf2f6e9fb95e4a9f3f674511d4806ffee08b05e2308c114491b65027d027c7580f23900e6f49048ee387d21995bf6c8941cd8cb5f11416259674b0ee02c9d019e5db74f72ab87f2242ccc496b9306ab1307d7e4ef0f5fb849b4ce91c2b853268d9e83b77247f927a5f01dc57c2d6e208628fa3341132d8f06524ea704626999e96fc9526a6a9be2d48bdf59e4d60cc15972e32ddc58ae04
dh.shared | a=0xa11ce b=0xb0b | ebde194489989f9b59c4c9375cb14b368fc956b6d17eced6c99ba9852016bdbcb69197c30c128321be9d1c741313cdb37ebe85d9864cff28126c2c263e1d366fd72d96f34ddeec1bf596f3173f296819d51b3bdcce516edd317714edc64a950903a1e8a42648071578e9a311e29d65b2056b7449555edc7f35fe3ec5d3c6fb6438d8ebb2bcdc0c8ef711bbb49b9b0255e0b7e42a7aa5c87d67dd8db1ee1bcfaec160caf4fd3f4671226862ab760a6f424ef9a62954ea7159342e9926c574d23d249d63dd5ffbb073f315d6cd207396c1cdc0570854bbe1a917c352bb3b50fc5a892f2049d0ba9d0d39f7aead5cb223301471127592ffe1ac2e7626ca7420d13b

# --- hkdf ---
hkdf | prk=01..20 label=f-tree/nearby/1/s2r len=32 | b76ee57f1dd4e836c703081deedd71237fbd1c0274e36308a665738f96be3c64
hkdf | prk=01..20 label=f-tree/nearby/1/r2s len=32 | 220d4a5fae9c7584413e5d8ea835f45630917f721adb77aa16f1a4cfdde1c7d8
hkdf | prk=01..20 label=f-tree/nearby/1/sas len=8 | 793ebd29a982316a

# --- handshake ---
handshake.transcript | no-token | 971fc5525a6465d09a7fd40e1d1312977f8d90e46a3f9a27b34cdc018a650b1e
handshake.prk | no-token | 3951b86eadd5b0e00c3fac71f0ac36c13d16d95c8914c6953d884272c266aef1
handshake.s2r | no-token | 066b6298292c117784b65c53bc644e00b26a1be14da61defcd5cfbed04da9c20
handshake.r2s | no-token | bb91378171528df48d8465e8fbeb585467476d403934773642dc74bcaa83291d
handshake.sas | no-token | 627156
handshake.transcript | with-token | 971fc5525a6465d09a7fd40e1d1312977f8d90e46a3f9a27b34cdc018a650b1e
handshake.prk | with-token | 827ccd4d687a1833ea213095e13287842d5e5283a19b2a3fe6c149b83788eb47
handshake.s2r | with-token | 8b5d69fd32b27359fb6db42cb46b97b58a9005d870a0394903e9d5f5fc97b153
handshake.r2s | with-token | 8c0da3947a12eb5b16406f68c780c39e73025bf7104c3dd64d360d00558ac5bb
handshake.sas | with-token | 883627

# --- sas ---
sas | zero | 000000
